Name,Alternative name,Gender,Year of birth,Year of death,Place of birth,Province of birth,Year of (last) migration,Transmigration (yes/no),Region of arrival: Northern Low Countries,Region of arrival: England,Region of arrival: German lands,Region of arrival: other,Mother tongue,Dutch,French,German,English,Latin,Greek,Hebrew,Italian,Spanish,Other,Author,Calligrapher,Librarian,"Printer, publisher, editor",Professor,"Schoolmaster, teacher, tutor","Scribe, secretary, clerk, agent",Rhetorician,Translator,"Profession, other",Converted monk,Authored works,Sources
"Datheen, Pieter","Dathenus, Petrus",male,,1588,Kassel,Flanders,,yes,yes,yes,yes,,Dutch,yes,yes,,,,yes,,,,,yes,,,yes,,,,,yes,minister,yes,"Kurtze und warhafftige erzelung (1563), Allen de psalmen Psalmen davids (1566)",
"Deleen, Wouter","Delenus, Gualterus",male,,1563,Balen,Brabant,,yes,yes,yes,yes,,Dutch,yes,,yes,,yes,yes,yes,,,,,,yes,,yes,yes,,,yes,,,,Oxford Dictionary National Biography
"Dorisy, Ghysbrecht",,male,,1610,Mechelen,Brabant,1583,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,,,,,,yes,,,,,,,"Briels, 'Biografische aantekeningen'"
"Drusius, Johannes",,male,1550,1616,Oudenaarde,Flanders,,yes,yes,yes,no,,Dutch,yes,,,,yes,yes,yes,,,"Syriac, Chaldean",,,,,yes,,,,,,,Ad voces Hebraicas Novi Testamenti commentarius (1582),
"Duym, Jacob",,male,1547,,Leuven,Brabant,1586,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,yes,,,,,,,yes,,,,"Spieghel boeck (1600), Verclaringhe van oudt Batavien (1606), Ghedenck boeck (1606)",Koppenol
"Elsevier, Lodewijk",,male,,1617,Leuven,Brabant,,yes,yes,no,yes,,Dutch,yes,yes,,,yes,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Everaerts, Marten",,male,1540,,Bruges,Flanders,,no,yes,no,no,,Dutch,yes,,yes,,yes,,,,,,,,,,,,,,yes,physician,,"Politica van Justvs Lipsivs (1590), T'Boeck vande Vroet-wijfs (1591), De Zeevaert  (1598), Om te maken Constige ende aerdige Vyerwercken (1605), De Conste van Buschietē (1605)",
"Fallet, Gedeon",,male,1544,,Mechelen,Brabant,1580,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,,yes,,,,,yes,,,notary,,,
"Fruytiers, Johan",,male,,,,,,yes,yes,yes,no,,Dutch,yes,yes,yes,,,,,,,,yes,,,,,,,,yes,,,"Corte beschrijvinghe vanden ellendighen ende seer beclaghelicken watervloet (1571), Der Francoysen ende haerder naegebueren morghenwecker (1574), Warachtige legende van Jan de Witte (1596)",Van Dixhoorn
"Geldorp, Hendrik van","Castritius, Henricus",male,1520,1567,Geldorp,Brabant,1558,yes,yes,no,yes,,Dutch,yes,,,,yes,,,,,,yes,,,,,yes,,,,,,"De optimo genere, Spes, Belgica liberanda (1574)",Faulenbach
"Gheeraerts, Marcus",,male,,,Bruges,Flanders,,no,no,yes,no,,Dutch,yes,,,,,,,,,,,,,,,,,,,"painter, engraver",,,Town
"Goessens, Passchier",,male,,,Brussels,Brabant,,no,no,no,yes,,Dutch,yes,yes,yes,,,,,,,,yes,,,,,yes,,,,,,"Buchhalten (1594), Arithmetica Oder Rechenbuch",De Groote
"Gruter, Jan de","Gruterus, Janus",male,1560,,Antwerp,Brabant,,yes,yes,yes,yes,,Dutch,yes,yes,,yes,yes,yes,,,,,yes,,yes,yes,yes,,,,,,,"Delitiae C poetarum Gallorum  (1609), Delitiae poetarum germanorum (1612), Delitiae C poetarum Belgicorum (1614), Bibliotheca Exulum (1624 )","Forster, Joby"
"Heere, Lucas d'",,male,1534,1584,Ghent,Flanders,1568,yes,no,yes,no,,Dutch,yes,yes,,,,,,,,,yes,,,,,,,yes,,painter,,"Théâtre de tous les peuples, Tableau poétique, Beschrijving der Britsche eilanden",Van Dam & Waterschoot
"Heinsius, Daniel",,male,1580,,Ghent,Flanders,,yes,yes,yes,no,,Dutch,yes,,,,yes,yes,,,,,yes,,yes,yes,yes,,,,,,,Auriacus (1602),Bloemendal
"Herbert, William",,male,,,,Flanders,,no,no,yes,no,,,yes,yes,,yes,,,,,,,yes,,,,,yes,,,,,,"Herberts beleefe and confession of faith, (1646), Herberts quadripartit devotion (1648), Herberts careful father and pious child (1648), Herberts child-bearing woman (1648), Considerations in the behalf of foreiners (1662), Herberts French and English dialogues (1660), Response aux Questions de Mr. Despagne (1657)",Oxford Dictionary of National Biography
"Heyns, Peeter",,male,,1598,Antwerp,Brabant,1585,yes,yes,no,yes,,Dutch,yes,yes,yes,,yes,,,,,,yes,yes,,,,yes,,yes,,,,"IIII. Dialogues pueriles (1588), Frantzösische Conjugationes-Conjugaisons Françoises (1589), Le miroir des mesnageres (1595), ",
"Heyns, Zacharias",,male,1566,,Antwerp,Brabant,,yes,yes,no,yes,,Dutch,yes,yes,,,,,,,,,yes,,,yes,,,,yes,yes,,,,"Briels, Zuidnederlandse boekdrukkers"
"Hoefnagel, Joris",,male,1542,,Antwerp,Brabant,,yes,no,yes,no,Austria,Dutch,yes,yes,,,yes,,,,yes,,,,,,,,,,,painter,,Patientia (1569),Bass
"Hogenberg, Frans",,male,1535,,Mechelen,Brabant,,yes,no,yes,yes,,Dutch,yes,yes,yes,,yes,,,,,,,,,,,,,,,engraver,,,
"Hondt, Jacquemyne d'",,female,,,Wakken,Flanders,,yes,yes,yes,no,,Dutch,yes,,,,,,,,,,,yes,,,,,,,,,,Theatrum artis scribendi (1594),
"Hondt, Joost d'","Hondius, Jodocus",male,1563,1612,Wakken,Flanders,,yes,yes,yes,no,,Dutch,yes,yes,,,yes,,,,,,,yes,,,,,,,,engraver,,Theatrum artis scribendi (1594),Croiset van Uchelen
"Houthusius, Jacobus","Houthuys, Jacques van",male,,,,Brabant,1585,no,no,no,yes,,Dutch,yes,yes,yes,,yes,,,yes,yes,,,yes,,,,yes,,,,,,"Exemplaria sive formulae scripturae ornatoris XXXVI in quis, praeter diversa litterarum genera, varii earundem ductus, structurae, & connexiones (1591)",
"Hulsius, Levinus",,male,1546,1606,Ghent,Flanders,,no,no,no,yes,,Dutch,yes,yes,yes,,yes,,,yes,,,,,,yes,,yes,yes,,yes,,,"Theoria et praxis quadrantis geometric (1594), De quadrante geometrico libellus (1594), Chronologia Pannoniae (1595), Ocularis et radicalis demonstratio  (1596), Dictionarium Teutsch Frantzösisch unnd Frantzösisch Teutsch (1596), Kurtze und warhafftige beschreibung  (1596), Erste Schiffart. Inn die Orientalische Indien  (1602), Dictionarium Teutsch-Italiänisch, und Italiänisch-Teutsch  (1605)",Van Groesen
Jacob Cool,"Colius, Jacobus",male,1563,,Antwerp ,Brabant,,no,no,yes,no,,Dutch,yes,,,yes,yes,,,,,,yes,,,,,,,,,merchant,,"Den Staet van London in haren grote peste (1606), Van de doot een ware beschryvinge end tegen de doot een goede bereydinge (1624), Paraphrasis, ofte verklaringe ende verbreydinge van den CIIII. psalm des propheten Davids (1626)",
"Junius, Franciscus",,male,1545,,Bourges,,,yes,yes,yes,yes,,French,yes,yes,yes,yes,yes,,,,,,yes,,,,yes,,,,yes,minister,,De Vera Theologia,
"Keere, Hendrik van den",,male,,,Ghent,Flanders,,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,,,,yes,,yes,,,,,,,
"Kempenaer, Paulus de",,male,1554,1618,Brussels,Brabant,1584,yes,yes,no,yes,Denmark,Dutch,yes,yes,,,yes,,,,,,,yes,,,,,yes,,yes,,,"Af-beeldingen van sommighe in Godts-woort ervarene mannen, die bestreden hebben den roomschen antichrist.  (1603), Boruchtia (1615)",
"Koninck, Carolus de","Regius, Carolus ",male,,,Ghent,Flanders,,yes,no,yes,yes,,Dutch,yes,,yes,yes,,,,,,,,,,,,,,,yes,,yes,Den standt ende de Bilde der beyder Ghemeynten  (1555),
"Koning, Abraham de",,male,1588,1619,Antwerp,Brabant,,no,yes,no,no,,Dutch,yes,,,,,,,,,,yes,,,yes,,,,yes,,,,"Iephthahs ende zijn eenighe dochters treur-spel (1615), tSpel van sinne (1616), Simsons treur-spel (1618)",Dibbets
"Laet, Johannes de","Laetius, Johannes",male,1581,1649,Antwerp,Brabant,1585,no,yes,no,no,,Dutch,yes,,,,yes,,,,,,yes,,,,,,,,,director WIC,,"Nieuwe Wereldt ofte beschrijvinghe van West-Indien (1625), Notae ad dissertationem Hugonis Grotii  (1643)",
"Lambrecht, Joos",,male,,1556,Ghent,Flanders,,no,no,no,yes,,Dutch,yes,yes,,,,,,,,,yes,,,yes,,yes,,,,,,,
"Lancel, Antony",,male,,,,,,no,yes,no,no,,,no,yes ,,,,,,,,,yes,,,,,yes,,,,,,"Discovrs, Tovchant La Memorable Victoire  (1600), Le Miroir de Lunion Belgique (1604), Commedie, En Laquelle Se Represente Les Quatre Estats Du Monde  (1605), Eclogue selon le cours du temps présent (1607), Dialogue, Auquel Se Represente (1608), Het testament van Bestant (1614)","Briels, 'Biografische aantekeningen'"
"Lansbergen, Petronella van","Lancenbergia, Petronia",female,,,,,,no,no,yes,no,,Dutch,yes,,,,yes,yes,,,,,,yes,,,,yes,,,,,,,Stevenson
"Le Mayre, Marten",,male,,,,,,no,no,yes,no,,Dutch,yes,,,yes,,,,,,,yes,,,,,yes,,,,,,Dutch Schoole Master (1606),
"Lipsius, Justus",,male,1547,1606,Overijse,Brabant,,yes,yes,no,yes,Austria,Dutch,yes,yes,,,yes,yes,,,,,yes,,,yes,yes,,,,,,,De Constantia (1584),
"Lynne, Walter","Lin, Wouter van",male,,,Antwerp,Brabant,,no,no,yes,no,,Dutch,yes,yes,yes,yes,,,,,,,,,,yes,,,,,yes,,,"Cathechismus, that is to say a shorte instruction into Christian religion (1548), The divisyon of the places of the lawe and of the Gospell (1548), The beginning and endynge of all popery (1548), The vertuous scholehous of ungracious women (1548), A frutefull and godly exposition  (1548), A briefe collection of all such textes  (1549), A treatise or sermon much fruitfull  (1549), The thre bokes of cronicles (1550), A spyrytuall and moost precyouse pearle  (1550), An epistle unto the right honorable and christian prince (1550), A briefe and compendiouse table (1550), The true beliefe in Christ and his sacramentes set forth  (1550)",Oxford Dictionary National Biography
"Mander, Karel van",,male,1548,1606,Meulebeke,Flanders,,no,yes,no,no,,Dutch,yes,yes,,,,,,yes,,,yes,,,,,,,yes,yes,painter,,"Hooghe liedt Salomo (1595), 't Stadt Haerlems beeldt (1596), De harpe, oft des herten snaren-spel (1596), De Kerck der deught  (1600), Schilder-boeck (1604), Olijf-bergh 91609)",
"Marnix of Sainte-Aldegonde, Philips of",,male,1540,1598,Brussels,Brabant,,yes,yes,yes,yes,,French,yes,yes,yes,yes,yes,,,,,,yes,,,,,,,,yes,diplomat,,,
"Mercator, Gerard",,male,1512,1594,Rupelmonde,Flanders,,no,no,no,yes,,Dutch,yes,,,,yes,,,,,,,,,,,,,,,cartographer,,,
"Mercelis, Adriaan",,male,,1599,Antwerp,Brabant,1585,no,yes,no,no,,Dutch,yes,,yes,,yes,yes,,,,,,,,,,yes,,,,,,,
"Meteren, Emanuel van",,male,1535,1612,Antwerp,Brabant,1550,no,no,yes,no,,Dutch,yes,,,yes,yes,,,yes,,,yes,,,,,,,,,"merchant, historiographer",,"Historia oder eigentliche und warhaffte beschreibung  (1596), Historia Belgica nostri potissimum  (1598)",
"Meulen, Daniel van der ",,male,1554,1600,Antwerp,Brabant,,yes,yes,no,yes,,Dutch,yes,yes,yes,,,,,yes,,,,,,,,,,,,merchant,,,
"Meusevoet, Vincent",,male,,,,Flanders,,yes,yes,yes,no,,Dutch,yes,yes,,yes,yes,,,,,,,,,,,,,,yes,,,"Predicatien, over de historie der heerlijcker verrijsenisse onses heeren Jesu Christi (1599), Een coninglijck gheschenck (1603), Eene corte belijdenisse des geloofs der coninglijcker majesteyt van Enghelandt (1603), Een geval der Conscientie verclarende de swaerste questie die daar is: namelijck hoe yemandt weeten of kennen sal, of hy een Kindt Gods is (1613)",Stilma
"Micron, Marten",,male,1523,1559,Ghent,Flanders,,yes,no,yes,yes,,Dutch,yes,,yes,,yes,,,,,,yes,,,,,,,,,minister,,"De cleyne catechismus (1552), Een claer bewijs (1554), Een waerachteghe historie  (1556), Apologeticum scriptum Martini micronii (1557), Een apologie of verandtwoordinghe (1558)",
"Mierdman, Steven",,male,,,Hooge Mierde,Brabant,,yes,no,yes,yes,,Dutch,yes,,yes,yes,,,,,,,,,,yes,,,,,,,,,Oxford Dictionary National Biography
"Migoen, Abraham",,male,,,,,,yes,yes,yes,no,,Dutch,yes,yes,,,,,,yes,,,,,,yes,,yes,,,yes,,,,
"Mollijns, Nicolaes",,male,,,,,,no,no,no,no,Latvia,Dutch,yes,,yes,,,,,,,,,,,yes,,,,,,,,"Boccius Anselmus (1588), Schryff Calender (1589), Panegyricus ad serenissimos  (1589), Libellus ethicus (1589), Alt und neu Schreibkalender (1590), Trostschrifft an den Edlen Gestrengen  (1591), Vier Predigten Von dem Bogen Gottes in den Wolcken (1591), Korte Ordeninge des Kerckendenstes (1592), Antiphonae et responsoria in Vespertinis canenda  (1592), Eines Erbarn Raths der Königklichen Stadt Riga  (1593), Ein Christliche Predigt (1594), Evangelia und Episteln aus dem Teutschen in die Lieffländische Pawrsprache  (1615), Enchiridion  (1615), Buß Predigt (1619), Then tridie predikningen (1621), Ristist ja kiusauxest p. jsäden ja martyritten oppi ja neuwo ruodzin kielexi käätty ja coottu (1622), Suloista ja lohdullista kijtos ja rucoüs weisu Jumalan cunniaxi ja Suomalaisten hywäxz käätty ja lauletta tehty Dynminnin Linnas (1622)",
"Moncy, Jean de",,male,,,,,,no,yes,no,no,,French,yes,yes,,,,,,,,,yes,,,,,yes,,,,,,"Dialogues Rustiques (1612), Seconde partie des Dialogues rustiques (1614)",
"Mostaert, David",,male,,1615,Antwerp,Brabant,,no,yes,no,no,,Dutch,yes,,yes,,yes,,,,,,,,,,,yes,yes,yes,,notary,,Korte onderwysinge van de Musijk-Konste en Samensprekinge over het misbruyk der wyzen en des Singens,
"Mulerius, Nicolaas",,male,1564,1630,Bruges,Flanders,1582,no,yes,no,no,,Dutch,yes,,,,yes,yes,yes,,,,,,yes,,yes,yes,,,,physician,,Verhael vande occasie en̄ oorsaeck waer door de Nederlanden gecomen zijn aenden vreede handel (1608),
"Munck, Levinus","Munck, Lieven de",male,,,Ghent,Flanders,,no,no,yes,no,,Dutch,yes,yes,,yes,,,,,,,,,,,,,yes,,,,,,
"Nans, Francoys","Nansius, Franciscus",male,,1595,Izenberge,Flanders,,no,yes,no,no,,Dutch,yes,,,,yes,yes,,,,,,,,yes,yes,,,,yes,,,"In maximum & clarissimum Justum Lipsium  (1588), In Nonni paraphrasin evangelii Johannis jam primum suo nitori restitutam (1589), Raphaeli Thoriou iatrou (1592), Ad Nonni paraphrasin evangelii Johannis Graece & Latine  (1593)",
"Noot, Jan van der",,male,1539,,Brecht,Brabant,,yes,no,yes,yes,,Dutch,yes,yes,,,,,,,,,yes,,,,,,,,,,,"Le theatre (1568), A theatre (1569), Theatrum, das ist Schawplatz",
"Otho, Johanna",,female,,,Ghent,Flanders,,no,no,no,yes,,Dutch,yes,,,,yes,yes,,,,,,,,,,,,,,,,,Stevenson
"Paret, Clément",,male,,,Brussels,Brabant,,no,no,yes,no,,,yes,yes,yes,yes,yes,,,yes,,,,yes,,,,,,,,servant,,"Exercitatio alphabetica nova et utilissima (1569), Eximiae (1571)","Van Dam & Waterschoot, Croiset van Uchelen"
"Rade, Gillis van den",,male,,,Ghent,Flanders,,no,yes,no,no,,Dutch,yes,,,,yes,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Radermacher, Johannes",,male,1538,1617,Aachen,,,yes,no,yes,yes,,German,yes,,yes,yes,,,,yes,,,,,,,,,,,,merchant,,,Bostoen
"Raphelengius, Francsiscus",,male,1539,1597,Lannoy,Flanders,,no,yes,no,no,,French,yes,yes,,,yes,yes,yes,,,"Arabic, Chaldean, Syriac",yes,,,yes,yes,,,,,,,,
"Rooman, Gillis",,male,,,Ghent,Flanders,,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Ruytinck, Jan",,male,,,,,,no,no,yes,no,,Dutch,yes,yes,,yes,yes,,,,,,,,,,,yes,,,,,,, Joby
"Sambic, Felix van",,male,1552,,Antwerp,Brabant,,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,yes,yes,,,,yes,,,yes,,,De Gheneuchlicke Ende Cluchtighe Historie van Lazarus van Tormes (1609),Croiset van Uchelen
"Saravia, Adriaan","Saravia, Harianus",male,,,,Artois,,yes,no,yes,no,Switzerland,,yes,yes,,yes,yes,yes,yes,,,,,,,,,yes,,,yes,,,,Nijenhuis
"Schilders, Richard",,male,,,Enghien,Hainaut,,yes,yes,yes,no,,Dutch ,yes,yes,,yes,,,,,,,,,,yes,,,,,yes,,,Een warachtich en naect verclaers (1585),"Briels, Zuidnederlandse boekdrukkers"
"Schuere, Jacob van der",,male,1576,,Menen,Flanders,,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,yes,,,yes,,yes,,yes,yes,,,"Arithmetica (1600), Tristium (1612), Nederduydsche Spellinghe (1612)","Briels, 'Biografische aantekeningen'"
"Silvius, Willem",,male,,,Den Bosch,Brabant,,no,yes,no,no,,Dutch ,yes,,,,yes,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Smyters, Anthoni",,male,1545,,Antwerp,Brabant,1586,yes,yes,no,yes,,Dutch,yes,yes,,,,,,,,,yes,,,,,yes,,yes,,,,"Thresor de Salomon (1594), Spieghel der Jonckheyt (1597), Arithmetique (1600), Esopus Fabelen (1604), Schryf konst boek (1613), Epitheta (1612)","Briels, 'Biografische aantekeningen'"
"Solempne, Anthoni de",,male,,,,Brabant,,no,no,yes,no,,Dutch,yes,yes,,,,,,,,,,,,yes,,,,,yes,,,,Joby
"Somer, Paul van",,male,,,Antwerp,Brabant,,no,no,yes,no,Scotland,Dutch,yes,,,yes,,,,,,,,,,,,,yes,,,painter,,,
"Sterlincx, Peter",,male,,,Antwerp,Brabant,1585,yes,yes,yes,no,,Dutch,yes,yes,,,,,,,,,yes,,,,,yes,,,yes,,,"Een corte waerachtighe beschrijuinghe van alle gheschiedenissen (1574), Een ghedencweerdighe historie van de stadt van Sancerre  (1575)","Briels, 'Biografische aantekeningen'"
"Stockmans, Bernardt",,male,,,,Brabant,1589,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,yes,,,,,yes,,,,,,Arithmetica (1589),"Briels, 'Biografische aantekeningen'"
"Strick, Maria",,female,,,,Brabant,,no,yes,no,no,,Dutch,yes,yes,yes,yes,,,,yes,yes,,yes,yes,,,,yes,,,,,,"Tooneel der loflijcker schrijfpen (1606), Christelijken ABC (1611), Schat oft voorbeelt (1618), Fonteyne des levens (1624)",Croiset van Uchelen
"Teerlinc, Levina",,female,,,Bruges,Flanders,,no,no,yes,no,,Dutch,yes,,,,,,,,,,,yes,,,,,,,,painter,,,Frye
"Treseil, Adriaan",,male,,,,Flanders,,yes,yes,yes,no,,,yes,yes,,,yes,yes,,,,,,,,,,yes,,,,,,,
"Trier, Gomes van",,male,,,Mechelen,Brabant,,no,yes,no,no,,Dutch,yes,yes,,,,,,yes,,,yes,,,,,yes,,,yes,,,"Van den heuschen burgerlycken ommegangh (1603), Verger  (1605)","Briels, 'Biografische aantekeningen'"
"Utenhove, Jan","Utenhovius, Johannes",male,1516,1566,Ghent,Flanders,,yes,no,yes,yes,Switzerland,Dutch,yes,,,,yes,yes,,,,,yes,,,,,,,,yes,,,"Het Nievvve Testament (1556), Hondert Psalmen Dauids (1561)",
"Utenhove, Karel","Utenhovius, Carolus",male,,,Ghent,Flanders,,yes,no,yes,yes,,Dutch,yes,yes,yes,,yes,yes,yes,,,Chaldean,yes,,,yes,,yes,yes,,,,,"Epitaphium (1560), Xenia (1568)",
"Utenhovia, Anna",,female,,,,,,,,,,,Dutch,yes,yes,,,yes,yes,,,,,,,,,,,,,,,,,Stevenson
"Valery, Magdalena",,female,,,,,,yes,yes,no,no,,French,yes,yes,,,,,,,,,yes,,,,,yes,,,,,,La montaigne des pvcelles (1599),
"Velde, Jan van den",,male,1568,1623,Antwerp,Brabant,1585,no,yes,no,no,,Dutch,yes,yes,,,yes,,,,,,yes,yes,,,,yes,,,,,,"Lettre Defensive, Pour l’art de Bien Escrire  (1599), Deliciae Variarum Insigniumque Scripturarum (1604), Spieghel Der Schrĳfkonste (1605), Artificiosissimum grammatices (1605), Exemplaer-bouc (1607), Miroir litteraire (1607), Quatrains spirituels (1613), Bouquet printanier (1613)",Croiset van Uchelen
"Vivere, Gerard de","Vivier, Gérard du",male,,,Ghent,Flanders,,no,no,no,yes,,Dutch,yes,yes,yes,,,,,,,,yes,,,,,yes,,,,,,"Grammaire Françoise (1566), Briefve Institvtion de la langve françoise (1568), Synonymes (1569), Dialogues  (1573), Dovze Dialogves (1574), Lettres Missives Familieres (1576), Devx Livres de l’vtilite Dv Train de Marchandise (1576), Comedie de La Fidelite Nuptiale (1577), Comedie Des Amours de Theseus et Dianira  (1578)",
"Viverius, Jacobus",,male,,,Ghent,Flanders,,no,yes,no,no,,Dutch,yes,yes,,,yes,,,,,,yes,,,,,,,,,physician,,"De claghte van Satan  (1598), De uyt-spraecke van Anna Uyt den Hove  (1598), Een christelick lof-verhael  (1600), Den lust-hof van de christelicke zielen (1600), Den spieghel van de Spaensche tyrannie (1601)",
"Voort, Jeronimus van der",,male,,,Lier,Brabant,,no,yes,no,no,,Dutch,yes,,,,,,,,,,yes,,,,,,,yes,,painter,,"Een schoon profijtelick boeck  (1577), Het heerlijck bewijs (1582), Het leven en sterven ben ic ghenaemt  (1595), ",
"Vulcanius, Bonaventura","Smet, Bonaventura de",male,1538,1614,Bruges,Flanders,,yes,yes,no,yes,,Dutch,yes,yes,,,yes,yes,,,yes,,,,yes,yes,yes,,yes,,yes,,,,
"Waesberghe, Jan I van",,male,,,,Flanders,1589,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Waesberghe, Jan II van",,male,1556,,Anwerp ,Brabant,,no,yes,no,no,,Dutch,yes,yes,,,,,,,,,,,,yes,,,,,,,,,"Briels, Zuidnederlandse boekdrukkers"
"Wesembeke, Jacob van",,male,1523,,Antwerp,Brabant,,yes,yes,no,yes,,Dutch,yes,yes,,,,,,,,,,,,,,,yes,,,,,,
"Weynoet, Pieter",,male,,,,,,no,no,yes,no,,Dutch,yes,yes,yes,yes,,,,,,,,,,,,,yes,,,,,,Joby
"Winghen, Godfried van","Wingius, Godfridus",male,,1590,Luik,Luik,,yes,no,yes,yes,,Dutch,yes,,,,,,,,,,,,,yes,,,,,,,,,
"Zevecote, Jacob van","Zevecotius, Jacobus",male,1596,1642,Ghent,Flanders,,no,yes,no,no,,Dutch,yes,,,,yes,,,,,,yes,,,,yes,,,,,,yes,,Parente
